is_a_label_snail	label_snail	label-dash	id	label	subTypeOf	enumerationtype	equivalentClass	isPartOf	properties	subTypes	supersedes	supersededBy	comment
is_a_basic_income	basic_income	basic-income	BasicIncome	BasicIncome	GovernmentBenefitsType	GovernmentBenefitsType		https://pending.schema.org					BasicIncome: this is a benefit for basic income.
is_a_beach	beach	beach	Beach	Beach	CivicStructure				additionalProperty, additionalType, address, aggregateRating, alternateName, amenityFeature, branchCode, containedIn, containedInPlace, containsPlace, description, disambiguatingDescription, event, events, faxNumber, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasDriveThroughService, hasMap, identifier, image, isAccessibleForFree, isicV4, keywords, latitude, logo, longitude, mainEntityOfPage, map, maps, maximumAttendeeCapacity, name, openingHours, openingHoursSpecification, photo, photos, potentialAction, publicAccess, review, reviews, sameAs, slogan, smokingAllowed, specialOpeningHoursSpecification, subjectOf, telephone, tourBookingPage, url				Beach.
is_a_beauty_salon	beauty_salon	beauty-salon	BeautySalon	BeautySalon	HealthAndBeautyBusiness				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				Beauty salon.
is_a_bed_and_breakfast	bed_and_breakfast	bed-and-breakfast	BedAndBreakfast	BedAndBreakfast	LodgingBusiness				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, audience, availableLanguage, award, awards, branchCode, branchOf, brand, checkinTime, checkoutTime, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, numberOfRooms, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, petsAllowed, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, starRating, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				"Bed and breakfast.
<br /><br />
See also the <a href=""/docs/hotels.html"">dedicated document on the use of schema.org for marking up hotels and other forms of accommodations</a>."
is_a_bed_details	bed_details	bed-details	BedDetails	BedDetails	Intangible				additionalType, alternateName, description, disambiguatingDescription, identifier, image, mainEntityOfPage, name, numberOfBeds, potentialAction, sameAs, subjectOf, typeOfBed, url				An entity holding detailed information about the available bed types, e.g. the quantity of twin beds for a hotel room. For the single case of just one bed of a certain type, you can use bed directly with a text. See also <a class="localLink" href="/BedType">BedType</a> (under development).
is_a_bed_type	bed_type	bed-type	BedType	BedType	QualitativeValue				additionalProperty, equal, greater, greaterOrEqual, lesser, lesserOrEqual, nonEqual, valueReference				A type of bed. This is used for indicating the bed or beds available in an accommodation.
is_a_befriend_action	befriend_action	befriend-action	BefriendAction	BefriendAction	InteractAction				actionStatus, additionalType, agent, alternateName, description, disambiguatingDescription, endTime, error, identifier, image, instrument, location, mainEntityOfPage, name, object, participant, potentialAction, provider, result, sameAs, startTime, subjectOf, target, url				"The act of forming a personal connection with someone (object) mutually/bidirectionally/symmetrically.<br/><br/>

Related actions:<br/><br/>

<ul>
<li><a class=""localLink"" href=""/FollowAction"">FollowAction</a>: Unlike FollowAction, BefriendAction implies that the connection is reciprocal.</li>
</ul>"
is_a_benefits_health_aspect	benefits_health_aspect	benefits-health-aspect	BenefitsHealthAspect	BenefitsHealthAspect	HealthAspectEnumeration	HealthAspectEnumeration		https://pending.schema.org					Content about the benefits and advantages of usage or utilization of topic.
is_a_bike_store	bike_store	bike-store	BikeStore	BikeStore	Store				actionableFeedbackPolicy, additionalProperty, additionalType, address, aggregateRating, alternateName, alumni, amenityFeature, areaServed, award, awards, branchCode, branchOf, brand, contactPoint, contactPoints, containedIn, containedInPlace, containsPlace, correctionsPolicy, currenciesAccepted, department, description, disambiguatingDescription, dissolutionDate, diversityPolicy, diversityStaffingReport, duns, email, employee, employees, ethicsPolicy, event, events, faxNumber, founder, founders, foundingDate, foundingLocation, funder, funding, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasCredential, hasDriveThroughService, hasMap, hasMerchantReturnPolicy, hasOfferCatalog, hasPOS, hasProductReturnPolicy, identifier, image, interactionStatistic, isAccessibleForFree, isicV4, iso6523Code, keywords, knowsAbout, knowsLanguage, latitude, legalName, leiCode, location, logo, longitude, mainEntityOfPage, makesOffer, map, maps, maximumAttendeeCapacity, member, memberOf, members, naics, name, nonprofitStatus, numberOfEmployees, openingHours, openingHoursSpecification, ownershipFundingInfo, owns, parentOrganization, paymentAccepted, photo, photos, potentialAction, priceRange, publicAccess, publishingPrinciples, review, reviews, sameAs, seeks, serviceArea, slogan, smokingAllowed, specialOpeningHoursSpecification, sponsor, subOrganization, subjectOf, taxID, telephone, tourBookingPage, unnamedSourcesPolicy, url, vatID				A bike store.
is_a_bio_chem_entity	bio_chem_entity	bio-chem-entity	BioChemEntity	BioChemEntity	Thing			https://pending.schema.org	additionalType, alternateName, associatedDisease, bioChemInteraction, bioChemSimilarity, biologicalRole, description, disambiguatingDescription, funding, hasBioChemEntityPart, hasMolecularFunction, hasRepresentation, identifier, image, isEncodedByBioChemEntity, isInvolvedInBiologicalProcess, isLocatedInSubcellularLocation, isPartOfBioChemEntity, mainEntityOfPage, name, potentialAction, sameAs, subjectOf, taxonomicRange, url	ChemicalSubstance, Gene, MolecularEntity, Protein			Any biological, chemical, or biochemical thing. For example: a protein; a gene; a chemical; a synthetic chemical.
is_a_blog	blog	blog	Blog	Blog	CreativeWork				about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, assesses, associatedMedia, audience, audio, author, award, awards, blogPost, blogPosts, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, disambiguatingDescription, discussionUrl, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, identifier, image, inLanguage, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, issn, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pattern, position, potentialAction, producer, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, releasedEvent, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, size, sourceOrganization, spatial, spatialCoverage, sponsor, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, workExample, workTranslation				A <a href="https://en.wikipedia.org/wiki/Blog">blog</a>, sometimes known as a "weblog". Note that the individual posts (<a class="localLink" href="/BlogPosting">BlogPosting</a>s) in a <a class="localLink" href="/Blog">Blog</a> are often colloquially referred to by the same term.
is_a_blog_posting	blog_posting	blog-posting	BlogPosting	BlogPosting	SocialMediaPosting				about, abstract, accessMode, accessModeSufficient, accessibilityAPI, accessibilityControl, accessibilityFeature, accessibilityHazard, accessibilitySummary, accountablePerson, acquireLicensePage, additionalType, aggregateRating, alternateName, alternativeHeadline, archivedAt, articleBody, articleSection, assesses, associatedMedia, audience, audio, author, award, awards, backstory, character, citation, comment, commentCount, conditionsOfAccess, contentLocation, contentRating, contentReferenceTime, contributor, copyrightHolder, copyrightNotice, copyrightYear, correction, countryOfOrigin, creativeWorkStatus, creator, creditText, dateCreated, dateModified, datePublished, description, disambiguatingDescription, discussionUrl, editEIDR, editor, educationalAlignment, educationalLevel, educationalUse, encoding, encodingFormat, encodings, exampleOfWork, expires, fileFormat, funder, funding, genre, hasPart, headline, identifier, image, inLanguage, interactionStatistic, interactivityType, interpretedAsClaim, isAccessibleForFree, isBasedOn, isBasedOnUrl, isFamilyFriendly, isPartOf, keywords, learningResourceType, license, locationCreated, mainEntity, mainEntityOfPage, maintainer, material, materialExtent, mentions, name, offers, pageEnd, pageStart, pagination, pattern, position, potentialAction, producer, provider, publication, publisher, publisherImprint, publishingPrinciples, recordedAt, releasedEvent, review, reviews, sameAs, schemaVersion, sdDatePublished, sdLicense, sdPublisher, sharedContent, size, sourceOrganization, spatial, spatialCoverage, speakable, sponsor, subjectOf, teaches, temporal, temporalCoverage, text, thumbnailUrl, timeRequired, translationOfWork, translator, typicalAgeRange, url, usageInfo, version, video, wordCount, workExample, workTranslation	LiveBlogPosting			A blog post.
is_a_blood_test	blood_test	blood-test	BloodTest	BloodTest	MedicalTest				additionalType, affectedBy, alternateName, code, description, disambiguatingDescription, funding, guideline, identifier, image, legalStatus, mainEntityOfPage, medicineSystem, name, normalRange, potentialAction, recognizingAuthority, relevantSpecialty, sameAs, signDetected, study, subjectOf, url, usedToDiagnose, usesDevice				A medical test performed on a sample of a patient's blood.
is_a_boarding_policy_type	boarding_policy_type	boarding-policy-type	BoardingPolicyType	BoardingPolicyType	Enumeration								A type of boarding policy used by an airline.
is_a_boat_reservation	boat_reservation	boat-reservation	BoatReservation	BoatReservation	Reservation			https://pending.schema.org	additionalType, alternateName, bookingAgent, bookingTime, broker, description, disambiguatingDescription, identifier, image, mainEntityOfPage, modifiedTime, name, potentialAction, priceCurrency, programMembershipUsed, provider, reservationFor, reservationId, reservationStatus, reservedTicket, sameAs, subjectOf, totalPrice, underName, url				"A reservation for boat travel.<br/><br/>

Note: This type is for information about actual reservations, e.g. in confirmation emails or HTML pages with individual confirmations of reservations. For offers of tickets, use <a class=""localLink"" href=""/Offer"">Offer</a>."
is_a_boat_terminal	boat_terminal	boat-terminal	BoatTerminal	BoatTerminal	CivicStructure			https://pending.schema.org	additionalProperty, additionalType, address, aggregateRating, alternateName, amenityFeature, branchCode, containedIn, containedInPlace, containsPlace, description, disambiguatingDescription, event, events, faxNumber, geo, geoContains, geoCoveredBy, geoCovers, geoCrosses, geoDisjoint, geoEquals, geoIntersects, geoOverlaps, geoTouches, geoWithin, globalLocationNumber, hasDriveThroughService, hasMap, identifier, image, isAccessibleForFree, isicV4, keywords, latitude, logo, longitude, mainEntityOfPage, map, maps, maximumAttendeeCapacity, name, openingHours, openingHoursSpecification, photo, photos, potentialAction, publicAccess, review, reviews, sameAs, slogan, smokingAllowed, specialOpeningHoursSpecification, subjectOf, telephone, tourBookingPage, url				A terminal for boats, ships, and other water vessels.
is_a_boat_trip	boat_trip	boat-trip	BoatTrip	BoatTrip	Trip			https://pending.schema.org	additionalType, alternateName, arrivalBoatTerminal, arrivalTime, departureBoatTerminal, departureTime, description, disambiguatingDescription, identifier, image, itinerary, mainEntityOfPage, name, offers, partOfTrip, potentialAction, provider, sameAs, subTrip, subjectOf, url				A trip on a commercial ferry line.
is_a_body_measurement_arm	body_measurement_arm	body-measurement-arm	BodyMeasurementArm	BodyMeasurementArm	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Arm length (measured between arms/shoulder line intersection and the prominent wrist bone). Used, for example, to fit shirts.
is_a_body_measurement_bust	body_measurement_bust	body-measurement-bust	BodyMeasurementBust	BodyMeasurementBust	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Maximum girth of bust. Used, for example, to fit women's suits.
is_a_body_measurement_chest	body_measurement_chest	body-measurement-chest	BodyMeasurementChest	BodyMeasurementChest	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Maximum girth of chest. Used, for example, to fit men's suits.
is_a_body_measurement_foot	body_measurement_foot	body-measurement-foot	BodyMeasurementFoot	BodyMeasurementFoot	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Foot length (measured between end of the most prominent toe and the most prominent part of the heel). Used, for example, to measure socks.
is_a_body_measurement_hand	body_measurement_hand	body-measurement-hand	BodyMeasurementHand	BodyMeasurementHand	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Maximum hand girth (measured over the knuckles of the open right hand excluding thumb, fingers together). Used, for example, to fit gloves.
is_a_body_measurement_head	body_measurement_head	body-measurement-head	BodyMeasurementHead	BodyMeasurementHead	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Maximum girth of head above the ears. Used, for example, to fit hats.
is_a_body_measurement_height	body_measurement_height	body-measurement-height	BodyMeasurementHeight	BodyMeasurementHeight	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Body height (measured between crown of head and soles of feet). Used, for example, to fit jackets.
is_a_body_measurement_hips	body_measurement_hips	body-measurement-hips	BodyMeasurementHips	BodyMeasurementHips	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Girth of hips (measured around the buttocks). Used, for example, to fit skirts.
is_a_body_measurement_inside_leg	body_measurement_inside_leg	body-measurement-inside-leg	BodyMeasurementInsideLeg	BodyMeasurementInsideLeg	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Inside leg (measured between crotch and soles of feet). Used, for example, to fit pants.
is_a_body_measurement_neck	body_measurement_neck	body-measurement-neck	BodyMeasurementNeck	BodyMeasurementNeck	BodyMeasurementTypeEnumeration	BodyMeasurementTypeEnumeration		https://pending.schema.org					Girth of neck. Used, for example, to fit shirts.
