domainIncludes	has_label_snail	rangeIncludes	label_snail	label-dash	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	inverseOf	supersedes	supersededBy	comment
LiveBlogPosting	has_live_blog_update	BlogPosting	live_blog_update	live-blog-update	liveBlogUpdate								An update to the LiveBlog.
"Airline, Flight"	has_boarding_policy	BoardingPolicyType	boarding_policy	boarding-policy	boardingPolicy								The type of boarding policy used by the airline (e.g. zone-based or group-based).
BoatTrip	has_arrival_boat_terminal	BoatTerminal	arrival_boat_terminal	arrival-boat-terminal	arrivalBoatTerminal	pending:							The terminal or port from which the boat arrives.
BoatTrip	has_departure_boat_terminal	BoatTerminal	departure_boat_terminal	departure-boat-terminal	departureBoatTerminal	pending:							The terminal or port from which the boat departs.
Book	has_book_format	BookFormatType	book_format	book-format	bookFormat								The format of the book.
Nerve	has_sourced_from	BrainStructure	sourced_from	sourced-from	sourcedFrom								The neurological pathway that originates the neurons.
"Organization, Person, Product, Service"	has_brand	"Brand, Organization"	brand	brand	brand								"The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person."
WebPage	has_breadcrumb	"BreadcrumbList, Text"	breadcrumb	breadcrumb	breadcrumb								A set of links that can help a user understand and navigate a website hierarchy.
BroadcastService	has_broadcast_channel	BroadcastChannel	has_broadcast_channel	has-broadcast-channel	hasBroadcastChannel					providesBroadcastService			A broadcast channel of a broadcast service.
"BroadcastChannel, BroadcastService"	has_broadcast_frequency	"BroadcastFrequencySpecification, Text"	broadcast_frequency	broadcast-frequency	broadcastFrequency								"The frequency used for over-the-air broadcasts. Numeric values or simple ranges, e.g. 87-99. In addition a shortcut idiom is supported for frequences of AM and FM radio channels, e.g. ""87 FM""."
BroadcastService	has_parent_service	BroadcastService	parent_service	parent-service	parentService								A broadcast service to which the broadcast service may belong to such as regional variations of a national channel.
BroadcastChannel	is_providing_broadcast_service	BroadcastService	is_providing_broadcast_service	provides-broadcast-service	providesBroadcastService					hasBroadcastChannel			The BroadcastService offered on this channel.
PublicationEvent	is_published_on	BroadcastService	published_on	published-on	publishedOn								A broadcast service associated with the publication event.
"Demand, Offer"	has_eligible_customer_type	BusinessEntityType	eligible_customer_type	eligible-customer-type	eligibleCustomerType								The type(s) of customers for which the given offer is valid.
"Demand, Offer, TypeAndQuantityNode"	has_business_function	BusinessFunction	business_function	business-function	businessFunction								"The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell."
BusTrip	has_arrival_bus_stop	"BusStation, BusStop"	arrival_bus_stop	arrival-bus-stop	arrivalBusStop								The stop or station from which the bus arrives.
BusTrip	has_departure_bus_stop	"BusStation, BusStop"	departure_bus_stop	departure-bus-stop	departureBusStop								The stop or station from which the bus departs.
BroadcastChannel	has_in_broadcast_lineup	CableOrSatelliteService	in_broadcast_lineup	in-broadcast-lineup	inBroadcastLineup								The CableOrSatelliteService offering the channel.
Vehicle	has_vehicle_special_usage	"CarUsageType, Text"	vehicle_special_usage	vehicle-special-usage	vehicleSpecialUsage	https://auto.schema.org							"Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school, or as a taxi. The legislation in many countries requires this information to be revealed when offering a car for sale."
CategoryCodeSet	has_category_code	CategoryCode	has_category_code	has-category-code	hasCategoryCode	pending:	hasDefinedTerm						A Category code contained in this code set.
"ActionAccessSpecification, Invoice, Offer, PhysicalActivity, Product, Recommendation, Service, SpecialAnnouncement"	has_category	"CategoryCode, PhysicalActivityCategory, Text, Thing, URL"	category	category	category				accommodationCategory				A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Legislation	has_legislation_type	"CategoryCode, Text"	legislation_type	legislation-type	legislationType	pending:	genre	http://data.europa.eu/eli/ontology#type_document					"The type of the legislation. Examples of values are ""law"", ""act"", ""directive"", ""decree"", ""regulation"", ""statutory instrument"", ""loi organique"", ""r�glement grand-ducal"", etc., depending on the country."
"EducationalOccupationalProgram, JobPosting, Occupation, WorkBasedProgram"	has_occupational_category	"CategoryCode, Text"	occupational_category	occupational-category	occupationalCategory	pending:							"A category describing the job, preferably using a term from a taxonomy such as <a href=""http://www.onetcenter.org/taxonomy.html"">BLS O*NET-SOC</a>, <a href=""https://www.ilo.org/public/english/bureau/stat/isco/isco08/"">ISCO-08</a> or similar, with the property repeated for each applicable value. Ideally the taxonomy should be identified, and both the textual label and formal code for the category should be provided.<br/><br/>

Note: for historical reasons, any textual label and formal code provided as a literal may be assumed to be from O*NET-SOC."
CategoryCode	has_in_code_set	"CategoryCodeSet, URL"	in_code_set	in-code-set	inCodeSet	pending:	inDefinedTermSet						"A <a class=""localLink"" href=""/CategoryCodeSet"">CategoryCodeSet</a> that contains this category code."
Hospital	has_healthcare_reporting_data	"CDCPMDRecord, Dataset"	healthcare_reporting_data	healthcare-reporting-data	healthcareReportingData	pending:							"Indicates data describing a hospital, e.g. a CDC <a class=""localLink"" href=""/CDCPMDRecord"">CDCPMDRecord</a> or as some kind of <a class=""localLink"" href=""/Dataset"">Dataset</a>."
SpecialAnnouncement	has_announcement_location	"CivicStructure, LocalBusiness"	announcement_location	announcement-location	announcementLocation	pending:	spatialCoverage						"Indicates a specific <a class=""localLink"" href=""/CivicStructure"">CivicStructure</a> or <a class=""localLink"" href=""/LocalBusiness"">LocalBusiness</a> associated with the SpecialAnnouncement. For example, a specific testing facility or business with special opening hours. For a larger geographic region like a quarantine of an entire region, use <a class=""localLink"" href=""/spatialCoverage"">spatialCoverage</a>."
"CreativeWork, MediaObject"	has_interpreted_as_claim	Claim	interpreted_as_claim	interpreted-as-claim	interpretedAsClaim	pending:	description						"Used to indicate a specific claim contained, implied, translated or refined from the content of a <a class=""localLink"" href=""/MediaObject"">MediaObject</a> or other <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>. The interpreting party can be indicated using <a class=""localLink"" href=""/claimInterpreter"">claimInterpreter</a>."
Property	has_domain	Class	domain_includes	domain-includes	domainIncludes	https://meta.schema.org							Relates a property to a class that is (one of) the type(s) the property is expected to be used on.
StatisticalPopulation	has_population_type	Class	population_type	population-type	populationType	pending:							"Indicates the populationType common to all members of a <a class=""localLink"" href=""/StatisticalPopulation"">StatisticalPopulation</a>."
Property	has_range	Class	range_includes	range-includes	rangeIncludes	https://meta.schema.org							Relates a property to a class that constitutes (one of) the expected type(s) for values of the property.
"Class, Enumeration, Property"	has_superseded_by	"Class, Enumeration, Property"	superseded_by	superseded-by	supersededBy	https://meta.schema.org							"Relates a term (i.e. a property, class or enumeration) to one that supersedes it."
CreativeWork	has_video	"Clip, VideoObject"	video	video	video								An embedded video object.
"CreativeWork, RsvpAction"	has_comment	Comment	comment	comment	comment								"Comments, typically from users."
Comment	has_parent_item	Comment	parent_item	parent-item	parentItem								"The parent of a question, answer or item in general."
"CommentAction, ReplyAction"	has_result_comment	Comment	result_comment	result-comment	resultComment		result						A sub property of result. The Comment created or sent as a result of this action.
Answer	has_answer_explanation	"Comment, WebContent"	answer_explanation	answer-explanation	answerExplanation	pending:							A step-by-step or full explanation about Answer. Can outline how this Answer was achieved or contain more broad clarification or statement about it.
SoftwareSourceCode	has_programming_language	"ComputerLanguage, Text"	programming_language	programming-language	programmingLanguage								The computer programming language.
JobPosting	has_application_contact	ContactPoint	application_contact	application-contact	applicationContact	pending:							Contact details for further information relevant to this job posting.
"HealthInsurancePlan, Organization, Person"	has_contact_point	ContactPoint	contact_point	contact-point	contactPoint						contactPoints		A contact point for a person or organization.
"Organization, Person"	has_contact_points	ContactPoint	contact_points	contact-points	contactPoints							contactPoint	A contact point for a person or organization.
ServiceChannel	has_service_phone	ContactPoint	service_phone	service-phone	servicePhone								The phone number to use to access the service.
ServiceChannel	has_service_sms_number	ContactPoint	service_sms_number	service-sms-number	serviceSmsNumber								The number to access the service by text message.
Message	has_bcc_recipient	"ContactPoint, Organization, Person"	bcc_recipient	bcc-recipient	bccRecipient		recipient						A sub property of recipient. The recipient blind copied on a message.
Message	has_cc_recipient	"ContactPoint, Organization, Person"	cc_recipient	cc-recipient	ccRecipient		recipient						A sub property of recipient. The recipient copied on a message.
Person	has_home_location	"ContactPoint, Place"	home_location	home-location	homeLocation		location						A contact location for a person's residence.
Person	has_work_location	"ContactPoint, Place"	work_location	work-location	workLocation		location						A contact location for a person's place of work.
ContactPoint	has_contact_option	ContactPointOption	contact_option	contact-option	contactOption								An option available on this contact point (e.g. a toll-free number or support for hearing-impaired callers).
CreativeWork	has_correction	"CorrectionComment, Text, URL"	correction	correction	correction	pending:							"Indicates a correction to a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>, either via a <a class=""localLink"" href=""/CorrectionComment"">CorrectionComment</a>, textually or in another document."
"CreativeWork, Movie, Product, TVEpisode, TVSeason, TVSeries"	has_country_of_origin	Country	country_of_origin	country-of-origin	countryOfOrigin								"The country of origin of something, including products as well as creative  works such as movie and TV content.<br/><br/>

In the case of TV and movie, this would be the country of the principle offices of the production company or individual responsible for the movie. For other kinds of <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a> it is difficult to provide fully general guidance, and properties such as <a class=""localLink"" href=""/contentLocation"">contentLocation</a> and <a class=""localLink"" href=""/locationCreated"">locationCreated</a> may be more applicable.<br/><br/>

In the case of products, the country of origin of the product. The exact interpretation of this may vary by context and product type, and cannot be fully enumerated here."
Person	has_nationality	Country	nationality	nationality	nationality								Nationality of the person.
"DefinedRegion, GeoCoordinates, GeoShape, PostalAddress"	has_address_country	"Country, Text"	address_country	address-country	addressCountry								"The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>."
MerchantReturnPolicy	has_applicable_country	"Country, Text"	applicable_country	applicable-country	applicableCountry	pending:							"A country where a particular merchant return policy applies to, for example the two-letter ISO 3166-1 alpha-2 country code."
MerchantReturnPolicy	has_return_policy_country	"Country, Text"	return_policy_country	return-policy-country	returnPolicyCountry	pending:							"The country where the product has to be sent to for returns, for example ""Ireland"" using the <a class=""localLink"" href=""/name"">name</a> property of <a class=""localLink"" href=""/Country"">Country</a>. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"">ISO 3166-1 alpha-2 country code</a>. Note that this can be different from the country where the product was originally shipped from or sent to."
EducationalOccupationalProgram	has_course	Course	has_course	has-course	hasCourse	pending:							A course or class that is one of the learning opportunities that constitute an educational / occupational program. No information is implied about whether the course is mandatory or optional; no guarantee is implied about whether the course will be available to everyone on the program.
Course	has_course_instance	CourseInstance	has_course_instance	has-course-instance	hasCourseInstance								An offering of the course at a specific time and place or through specific media or mode of study or to a specific section of students.
Claim	has_appearance	CreativeWork	appearance	appearance	appearance	pending:	workExample						"Indicates an occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
"VideoGame, VideoGameSeries"	has_cheat_code	CreativeWork	cheat_code	cheat-code	cheatCode								Cheat codes to the game.
UserComments	has_discusses	CreativeWork	discusses	discusses	discusses								Specifies the CreativeWork associated with the UserComment.
MediaObject	is_encoding_creative_work	CreativeWork	is_encoding_creative_work	encodes-creative-work	encodesCreativeWork					encoding			The CreativeWork encoded by this media object.
CreativeWork	has_example_of_work	CreativeWork	example_of_work	example-of-work	exampleOfWork					workExample			A creative work that this work is an example/instance/realization/derivation of.
Claim	has_first_appearance	CreativeWork	first_appearance	first-appearance	firstAppearance	pending:	workExample						"Indicates the first known occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
VideoGame	has_game_tip	CreativeWork	game_tip	game-tip	gameTip								"Links to tips, tactics, etc."
CreativeWork	has_part	CreativeWork	has_part	has-part	hasPart				"containsSeason, episode, season, tocEntry"	isPartOf			"Indicates an item or CreativeWork that is part of this item, or CreativeWork (in some sense)."
MusicComposition	has_lyrics	CreativeWork	lyrics	lyrics	lyrics								The words in the song.
Message	has_message_attachment	CreativeWork	message_attachment	message-attachment	messageAttachment								A CreativeWork attached to the message.
Event	has_recorded_in	CreativeWork	recorded_in	recorded-in	recordedIn					recordedAt			The CreativeWork that captured all or part of this Event.
SocialMediaPosting	has_shared_content	CreativeWork	shared_content	shared-content	sharedContent								"A CreativeWork such as an image, video, or audio clip shared as part of this posting."
SoftwareApplication	has_software_help	CreativeWork	software_help	software-help	softwareHelp								Software application help.
CreativeWork	has_translation_of_work	CreativeWork	translation_of_work	translation-of-work	translationOfWork	https://bib.schema.org				workTranslation			The work that this work has been translated from. E.g. ???? is a translationOf �On the Origin of Species�.
CreativeWork	has_work_example	CreativeWork	work_example	work-example	workExample				"appearance, firstAppearance"	exampleOfWork			"Example/instance/realization/derivation of the concept of this creative work. E.g. the paperback edition, first edition, or e-book."
Event	has_work_featured	CreativeWork	work_featured	work-featured	workFeatured				"workPerformed, workPresented"				"A work featured in some event, e.g. exhibited in an ExhibitionEvent.
       Specific subproperties are available for workPerformed (e.g. a play), or a workPresented (a Movie at a ScreeningEvent)."
Event	has_work_performed	CreativeWork	work_performed	work-performed	workPerformed		workFeatured						"A work performed in some event, for example a play performed in a TheaterEvent."
CreativeWork	has_work_translation	CreativeWork	work_translation	work-translation	workTranslation	https://bib.schema.org				translationOfWork			"A work that is a translation of the content of this work. E.g. ??? has an English workTranslation �Journey to the West�, a German workTranslation �Monkeys Pilgerfahrt� and a Vietnamese  translation T�y du k� b�nh kh?o."
Thing	has_subject_of	"CreativeWork, Event"	subject_of	subject-of	subjectOf					about			A CreativeWork or Event about this Thing.
HowTo	has_step	"CreativeWork, HowToSection, HowToStep, Text"	step	step	step				recipeInstructions		steps		"A single step item (as HowToStep, text, document, video, etc.) or a HowToSection."
Recipe	has_recipe_instructions	"CreativeWork, ItemList, Text"	recipe_instructions	recipe-instructions	recipeInstructions		step						"A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items."
"HowTo, HowToSection"	has_steps	"CreativeWork, ItemList, Text"	steps	steps	steps							step	"A single step item (as HowToStep, text, document, video, etc.) or a HowToSection (originally misnamed 'steps'; 'step' is preferred)."
CreativeWork	is_based_on	"CreativeWork, Product, URL"	is_based_on	is-based-on	isBasedOn						isBasedOnUrl		A resource from which this work is derived or from which it is a modification or adaption.
CreativeWork	is_based_on_url	"CreativeWork, Product, URL"	is_based_on_url	is-based-on-url	isBasedOnUrl							isBasedOn	"A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html."
Article	has_backstory	"CreativeWork, Text"	backstory	backstory	backstory	pending:							"For an <a class=""localLink"" href=""/Article"">Article</a>, typically a <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a>, the backstory property provides a textual summary giving a brief explanation of why and how an article was created. In a journalistic setting this could include information about reporting process, methods, interviews, data sources, etc."
CreativeWork	has_citation	"CreativeWork, Text"	citation	citation	citation								"A citation or reference to another creative work, such as another publication, web page, scholarly article, etc."
