label-dash	label_snail	label	isPartOf	subPropertyOf	equivalentProperty	subproperties	domainIncludes	rangeIncludes	inverseOf	supersedes	supersededBy	comment
announcement-location	announcement_location	announcementLocation	pending:	spatialCoverage			SpecialAnnouncement	CivicStructure, LocalBusiness				"Indicates a specific <a class=""localLink"" href=""/CivicStructure"">CivicStructure</a> or <a class=""localLink"" href=""/LocalBusiness"">LocalBusiness</a> associated with the SpecialAnnouncement. For example, a specific testing facility or business with special opening hours. For a larger geographic region like a quarantine of an entire region, use <a class=""localLink"" href=""/spatialCoverage"">spatialCoverage</a>."
annual-percentage-rate	annual_percentage_rate	annualPercentageRate					FinancialProduct	Number, QuantitativeValue				The annual rate that is charged for borrowing (or made by investing), expressed as a single percentage number that represents the actual yearly cost of funds over the term of a loan. This includes any fees or additional costs associated with the transaction.
answer-count	answer_count	answerCount					Question	Integer				The number of answers this question has received.
answer-explanation	answer_explanation	answerExplanation	pending:				Answer	Comment, WebContent				A step-by-step or full explanation about Answer. Can outline how this Answer was achieved or contain more broad clarification or statement about it.
antagonist	antagonist	antagonist					Muscle	Muscle				The muscle whose action counteracts the specified muscle.
appearance	appearance	appearance	pending:	workExample			Claim	CreativeWork				"Indicates an occurrence of a <a class=""localLink"" href=""/Claim"">Claim</a> in some <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>."
applicable-country	applicable_country	applicableCountry	pending:				MerchantReturnPolicy	Country, Text				A country where a particular merchant return policy applies to, for example the two-letter ISO 3166-1 alpha-2 country code.
applicable-location	applicable_location	applicableLocation					DrugCost, DrugLegalStatus	AdministrativeArea				The location in which the status applies.
applicant-location-requirements	applicant_location_requirements	applicantLocationRequirements	pending:				JobPosting	AdministrativeArea				The location(s) applicants can apply from. This is usually used for telecommuting jobs where the applicant does not need to be in a physical office. Note: This should not be used for citizenship or work visa requirements.
application	application	application					EntryPoint	SoftwareApplication			actionApplication	An application that can complete the request.
application-category	application_category	applicationCategory					SoftwareApplication	Text, URL				Type of software application, e.g. 'Game, Multimedia'.
application-contact	application_contact	applicationContact	pending:				JobPosting	ContactPoint				Contact details for further information relevant to this job posting.
application-deadline	application_deadline	applicationDeadline	pending:				EducationalOccupationalProgram	Date				The date at which the program stops collecting applications for the next enrollment cycle.
application-start-date	application_start_date	applicationStartDate	pending:				EducationalOccupationalProgram	Date				The date at which the program begins collecting applications for the next enrollment cycle.
application-sub-category	application_sub_category	applicationSubCategory					SoftwareApplication	Text, URL				Subcategory of the application, e.g. 'Arcade Game'.
application-suite	application_suite	applicationSuite					SoftwareApplication	Text				The name of the application suite to which the application belongs (e.g. Excel belongs to Office).
applies-to-delivery-method	applies_to_delivery_method	appliesToDeliveryMethod					DeliveryChargeSpecification, PaymentChargeSpecification	DeliveryMethod				The delivery method(s) to which the delivery charge or payment charge specification applies.
applies-to-payment-method	applies_to_payment_method	appliesToPaymentMethod					PaymentChargeSpecification	PaymentMethod				The payment method(s) to which the payment charge specification applies.
archive-held	archive_held	archiveHeld	pending:				ArchiveOrganization	ArchiveComponent	holdingArchive			"Collection, <a href=""https://en.wikipedia.org/wiki/Fonds"">fonds</a>, or item held, kept or maintained by an <a class=""localLink"" href=""/ArchiveOrganization"">ArchiveOrganization</a>."
archived-at	archived_at	archivedAt	pending:				CreativeWork	URL, WebPage				"Indicates a page or other link involved in archival of a <a class=""localLink"" href=""/CreativeWork"">CreativeWork</a>. In the case of <a class=""localLink"" href=""/MediaReview"">MediaReview</a>, the items in a <a class=""localLink"" href=""/MediaReviewItem"">MediaReviewItem</a> may often become inaccessible, but be archived by archival, journalistic, activist, or law enforcement organizations. In such cases, the referenced page may not directly publish the content."
area	area	area					BroadcastService	Place			serviceArea	The area within which users can expect to reach the broadcast service.
area-served	area_served	areaServed				availableAtOrFrom, eligibleRegion	ContactPoint, DeliveryChargeSpecification, Demand, Offer, Organization, Service	AdministrativeArea, GeoShape, Place, Text		serviceArea		The geographic area where a service or offered item is provided.
arrival-airport	arrival_airport	arrivalAirport					Flight	Airport				The airport where the flight terminates.
arrival-boat-terminal	arrival_boat_terminal	arrivalBoatTerminal	pending:				BoatTrip	BoatTerminal				The terminal or port from which the boat arrives.
arrival-bus-stop	arrival_bus_stop	arrivalBusStop					BusTrip	BusStation, BusStop				The stop or station from which the bus arrives.
arrival-gate	arrival_gate	arrivalGate					Flight	Text				Identifier of the flight's arrival gate.
arrival-platform	arrival_platform	arrivalPlatform					TrainTrip	Text				The platform where the train arrives.
arrival-station	arrival_station	arrivalStation					TrainTrip	TrainStation				The station where the train trip ends.
arrival-terminal	arrival_terminal	arrivalTerminal					Flight	Text				Identifier of the flight's arrival terminal.
arrival-time	arrival_time	arrivalTime					Trip	DateTime, Time				The expected arrival time.
art-edition	art_edition	artEdition					VisualArtwork	Integer, Text				"The number of copies when multiple copies of a piece of artwork are produced - e.g. for a limited edition of 20 prints, 'artEdition' refers to the total number of copies (in this example ""20"")."
art-medium	art_medium	artMedium		material			VisualArtwork	Text, URL				The material used. (E.g. Oil, Watercolour, Acrylic, Linoprint, Marble, Cyanotype, Digital, Lithograph, DryPoint, Intaglio, Pastel, Woodcut, Pencil, Mixed Media, etc.)
arterial-branch	arterial_branch	arterialBranch					Artery	AnatomicalStructure		branch		The branches that comprise the arterial structure.
artform	artform	artform					VisualArtwork	Text, URL				e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.
article-body	article_body	articleBody					Article	Text				The actual body of the article.
article-section	article_section	articleSection					Article	Text				Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.
artist	artist	artist	https://bib.schema.org				ComicIssue, ComicStory, VisualArtwork	Person				"The primary artist for a work
        in a medium other than pencils or digital line art--for example, if the
        primary artwork is done in watercolors or digital paints."
artwork-surface	artwork_surface	artworkSurface					VisualArtwork	Text, URL		surface		The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.
asin	asin	asin	pending:	identifier			Demand, Offer, Product	Text, URL				"An Amazon Standard Identification Number (ASIN) is a 10-character alphanumeric unique identifier assigned by Amazon.com and its partners for product identification within the Amazon organization (summary from <a href=""https://en.wikipedia.org/wiki/Amazon_Standard_Identification_Number"">Wikipedia</a>'s article).<br/><br/>

Note also that this is a definition for how to include ASINs in Schema.org data, and not a definition of ASINs in general - see documentation from Amazon for authoritative details.
ASINs are most commonly encoded as text strings, but the [asin] property supports URL/URI as potential values too."
aspect	aspect	aspect					MedicalWebPage	Text			mainContentOfPage	An aspect of medical practice that is considered on the page, such as 'diagnosis', 'treatment', 'causes', 'prognosis', 'etiology', 'epidemiology', etc.
assembly	assembly	assembly					APIReference	Text			executableLibraryName	Library file name, e.g., mscorlib.dll, system.web.dll.
assembly-version	assembly_version	assemblyVersion					APIReference	Text				Associated product/technology version. E.g., .NET Framework 4.5.
assesses	assesses	assesses	pending:				CreativeWork, EducationEvent, LearningResource	DefinedTerm, Text				The item being described is intended to assess the competency or learning outcome defined by the referenced term.
associated-anatomy	associated_anatomy	associatedAnatomy					MedicalCondition, PhysicalActivity	AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy				The anatomy of the underlying organ system or structures associated with this entity.
associated-article	associated_article	associatedArticle					MediaObject	NewsArticle				A NewsArticle associated with the Media Object.
associated-claim-review	associated_claim_review	associatedClaimReview	pending:	associatedReview			Review	Review				"An associated <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a>, related by specific common content, topic or claim. The expectation is that this property would be most typically used in cases where a single activity is conducting both claim reviews and media reviews, in which case <a class=""localLink"" href=""/relatedMediaReview"">relatedMediaReview</a> would commonly be used on a <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a>, while <a class=""localLink"" href=""/relatedClaimReview"">relatedClaimReview</a> would be used on <a class=""localLink"" href=""/MediaReview"">MediaReview</a>."
associated-disease	associated_disease	associatedDisease	pending:				BioChemEntity	MedicalCondition, PropertyValue, URL				Disease associated to this BioChemEntity. Such disease can be a MedicalCondition or a URL. If you want to add an evidence supporting the association, please use PropertyValue.
associated-media	associated_media	associatedMedia					CreativeWork, HyperToc, HyperTocEntry	MediaObject				A media object that encodes this CreativeWork. This property is a synonym for encoding.
associated-media-review	associated_media_review	associatedMediaReview	pending:	associatedReview			Review	Review				"An associated <a class=""localLink"" href=""/MediaReview"">MediaReview</a>, related by specific common content, topic or claim. The expectation is that this property would be most typically used in cases where a single activity is conducting both claim reviews and media reviews, in which case <a class=""localLink"" href=""/relatedMediaReview"">relatedMediaReview</a> would commonly be used on a <a class=""localLink"" href=""/ClaimReview"">ClaimReview</a>, while <a class=""localLink"" href=""/relatedClaimReview"">relatedClaimReview</a> would be used on <a class=""localLink"" href=""/MediaReview"">MediaReview</a>."
associated-pathophysiology	associated_pathophysiology	associatedPathophysiology					AnatomicalStructure, AnatomicalSystem, SuperficialAnatomy	Text				If applicable, a description of the pathophysiology associated with the anatomical system, including potential abnormal changes in the mechanical, physical, and biochemical functions of the system.
associated-review	associated_review	associatedReview	pending:			associatedClaimReview, associatedMediaReview	Review	Review				"An associated <a class=""localLink"" href=""/Review"">Review</a>."
athlete	athlete	athlete					SportsTeam	Person				"A person that acts as performing member of a sports team; a player as opposed to a coach."
attendee	attendee	attendee					Event	Organization, Person		attendees		A person or organization attending the event.
attendees	attendees	attendees					Event	Organization, Person			attendee	A person attending the event.
audience	audience	audience					CreativeWork, Event, LodgingBusiness, PlayAction, Product, Service	Audience		serviceAudience		An intended audience, i.e. a group for whom something was created.
audience-type	audience_type	audienceType					Audience	Text				The target group associated with a given audience (e.g. veterans, car owners, musicians, etc.).
audio	audio	audio					CreativeWork	AudioObject, Clip, MusicRecording				An embedded audio object.
authenticator	authenticator	authenticator					MediaSubscription	Organization				The Organization responsible for authenticating the user's subscription. For example, many media apps require a cable/satellite provider to authenticate your subscription before playing media.
author	author	author					CreativeWork, Rating	Organization, Person				The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
availability	availability	availability					Demand, Offer	ItemAvailability				"The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc."
availability-ends	availability_ends	availabilityEnds					ActionAccessSpecification, Demand, Offer	Date, DateTime, Time				The end of the availability of the product or service included in the offer.
availability-starts	availability_starts	availabilityStarts					ActionAccessSpecification, Demand, Offer	Date, DateTime, Time				The beginning of the availability of the product or service included in the offer.
available-at-or-from	available_at_or_from	availableAtOrFrom		areaServed			Demand, Offer	Place				The place(s) from which the offer can be obtained (e.g. store locations).
available-channel	available_channel	availableChannel					Service	ServiceChannel				A means of accessing the service (e.g. a phone bank, a web site, a location, etc.).
available-delivery-method	available_delivery_method	availableDeliveryMethod					Demand, Offer	DeliveryMethod				The delivery method(s) available for this offer.
available-from	available_from	availableFrom					DeliveryEvent	DateTime				When the item is available for pickup from the store, locker, etc.
available-in	available_in	availableIn					DrugStrength	AdministrativeArea				The location in which the strength is available.
available-language	available_language	availableLanguage					ContactPoint, LodgingBusiness, ServiceChannel, TouristAttraction	Language, Text				"A language someone may use with or at the item, service or place. Please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>. See also <a class=""localLink"" href=""/inLanguage"">inLanguage</a>."
available-on-device	available_on_device	availableOnDevice					SoftwareApplication	Text		device		Device required to run the application. Used in cases where a specific make/model is required to run the application.
available-service	available_service	availableService					Hospital, MedicalClinic, Physician	MedicalProcedure, MedicalTest, MedicalTherapy				A medical service available from this provider.
available-strength	available_strength	availableStrength					Drug	DrugStrength				An available dosage strength for the drug.
available-test	available_test	availableTest					DiagnosticLab	MedicalTest				A diagnostic test or procedure offered by this lab.
available-through	available_through	availableThrough					DeliveryEvent	DateTime				After this date, the item will no longer be available for pickup.
award	award	award					CreativeWork, Organization, Person, Product, Service	Text		awards		An award won by or for this item.
awards	awards	awards					CreativeWork, Organization, Person, Product	Text			award	Awards won by or for this item.
away-team	away_team	awayTeam		competitor			SportsEvent	Person, SportsTeam				The away team in a sports event.
backstory	backstory	backstory	pending:				Article	CreativeWork, Text				"For an <a class=""localLink"" href=""/Article"">Article</a>, typically a <a class=""localLink"" href=""/NewsArticle"">NewsArticle</a>, the backstory property provides a textual summary giving a brief explanation of why and how an article was created. In a journalistic setting this could include information about reporting process, methods, interviews, data sources, etc."
bank-account-type	bank_account_type	bankAccountType	pending:				BankAccount	Text, URL				The type of a bank account.
base-salary	base_salary	baseSalary					EmployeeRole, JobPosting	MonetaryAmount, Number, PriceSpecification				The base salary of the job or of an employee in an EmployeeRole.
bcc-recipient	bcc_recipient	bccRecipient		recipient			Message	ContactPoint, Organization, Person				A sub property of recipient. The recipient blind copied on a message.
bed	bed	bed					HotelRoom, Suite	BedDetails, BedType, Text				"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
before-media	before_media	beforeMedia					HowToDirection	MediaObject, URL				A media object representing the circumstances before performing this direction.
beneficiary-bank	beneficiary_bank	beneficiaryBank	pending:				MoneyTransfer	BankOrCreditUnion, Text				A bank or bank�s branch, financial institution or international financial institution operating the beneficiary�s bank account or releasing funds for the beneficiary.
benefits	benefits	benefits					JobPosting	Text			jobBenefits	Description of benefits associated with the job.
benefits-summary-url	benefits_summary_url	benefitsSummaryUrl	pending:				HealthInsurancePlan	URL				The URL that goes directly to the summary of benefits and coverage for the specific standard plan or plan variation.
best-rating	best_rating	bestRating					Rating	Number, Text				The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.
billing-address	billing_address	billingAddress					Order	PostalAddress				The billing address for the order.
billing-duration	billing_duration	billingDuration	pending:				UnitPriceSpecification	Duration, Number, QuantitativeValue				Specifies for how long this price (or price component) will be billed. Can be used, for example, to model the contractual duration of a subscription or payment plan. Type can be either a Duration or a Number (in which case the unit of measurement, for example month, is specified by the unitCode property).
billing-increment	billing_increment	billingIncrement					UnitPriceSpecification	Number				This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.
billing-period	billing_period	billingPeriod					Invoice	Duration				The time interval used to compute the invoice.
billing-start	billing_start	billingStart	pending:				UnitPriceSpecification	Number				Specifies after how much time this price (or price component) becomes valid and billing starts. Can be used, for example, to model a price increase after the first year of a subscription. The unit of measurement is specified by the unitCode property.
bio-chem-interaction	bio_chem_interaction	bioChemInteraction	pending:				BioChemEntity	BioChemEntity				A BioChemEntity that is known to interact with this item.
bio-chem-similarity	bio_chem_similarity	bioChemSimilarity	pending:				BioChemEntity	BioChemEntity				A similar BioChemEntity, e.g., obtained by fingerprint similarity algorithms.
biological-role	biological_role	biologicalRole	pending:				BioChemEntity	DefinedTerm				A role played by the BioChemEntity within a biological context.
biomechnical-class	biomechnical_class	biomechnicalClass					Joint	Text				The biomechanical properties of the bone.
birth-date	birth_date	birthDate					Person	Date				Date of birth.
birth-place	birth_place	birthPlace					Person	Place				The place where the person was born.
bitrate	bitrate	bitrate					MediaObject	Text				The bitrate of the media object.
blog-post	blog_post	blogPost					Blog	BlogPosting		blogPosts		A posting that is part of this blog.
blog-posts	blog_posts	blogPosts					Blog	BlogPosting			blogPost	"Indicates a post that is part of a <a class=""localLink"" href=""/Blog"">Blog</a>. Note that historically, what we term a ""Blog"" was once known as a ""weblog"", and that what we term a ""BlogPosting"" is now often colloquially referred to as a ""blog""."
